player_id,general_rating,general_rd,general_n,hard_rating,hard_rd,hard_n,clay_rating,clay_rd,clay_n,grass_rating,grass_rd,grass_n,full_name
212001,1383.6,124.7,90,1339.5,194.9,45,1304.3,164.9,30,1418.4,377.1,15,Natalia Vikhlyantseva
201482,1383.6,117.8,44,1313.0,197.7,23,1395.2,162.6,19,1466.6,469.5,2,Andreja Klepac
202181,1383.6,286.7,1,1374.2,293.3,1,1500.0,350.0,0,1500.0,350.0,0,Lela Zainal
222296,1383.5,123.7,23,1432.3,154.5,14,1215.2,244.0,5,1293.1,265.8,4,Zhuoxuan Bai
212073,1383.4,308.3,1,1383.4,308.3,1,1500.0,350.0,0,1500.0,350.0,0,Shizuko Matsuda
201638,1383.4,109.1,56,1461.5,176.4,11,1384.3,144.0,44,1403.9,333.3,1,Estrella Cabeza Candela
204100,1383.4,308.3,1,1500.0,350.0,0,1500.0,350.0,0,1383.4,308.3,1,Veronika Raimrova
239160,1383.4,308.3,1,1383.4,308.3,1,1500.0,350.0,0,1500.0,350.0,0,Arina Arifullina
259849,1383.3,297.2,1,1500.0,350.0,0,1388.8,297.3,1,1500.0,350.0,0,Yoana Konstantinova
221354,1383.2,177.8,9,1500.0,350.0,0,1395.4,184.0,9,1500.0,350.0,0,Lisa Pigato
201815,1383.2,186.7,9,1428.9,234.3,3,1323.8,264.6,6,1500.0,350.0,0,Petra Rampre
202473,1383.1,273.4,1,1500.0,350.0,0,1399.7,291.6,1,1500.0,350.0,0,Annalisa Bona
222290,1382.9,157.8,10,1385.7,157.6,10,1500.0,350.0,0,1500.0,350.0,0,Lanlana Tararudee
215305,1382.9,266.3,1,1500.0,350.0,0,1315.6,280.4,1,1500.0,350.0,0,Desirae Krawczyk
204870,1382.8,230.1,4,1395.6,232.1,4,1500.0,350.0,0,1500.0,350.0,0,Melissa Berry
200582,1382.8,115.0,80,1408.8,200.7,31,1308.4,217.4,27,1452.9,246.7,13,Maria Strandlund Tomsvik
201398,1382.7,169.3,7,1500.0,350.0,0,1500.0,350.0,0,1290.6,198.1,7,Amanda Keen
200659,1382.6,150.4,139,1432.2,163.5,95,1025.6,355.2,7,1378.5,321.1,13,Rika Hiraki
202262,1382.5,268.4,1,1385.9,275.5,1,1500.0,350.0,0,1500.0,350.0,0,Katrina Nimmers
202521,1382.4,260.0,1,1366.7,260.2,1,1500.0,350.0,0,1500.0,350.0,0,Neyssa Etienne
202504,1382.3,107.1,96,1383.4,116.4,82,1088.2,346.6,4,1390.4,311.4,10,Ying Ying Duan
207401,1382.2,307.9,1,1382.2,307.9,1,1500.0,350.0,0,1500.0,350.0,0,Keiko Fujiwara
202478,1382.2,171.9,17,1379.1,306.7,1,1500.0,350.0,0,1291.8,206.5,16,Tara Moore
207955,1382.2,307.9,1,1382.2,307.9,1,1500.0,350.0,0,1500.0,350.0,0,Nasheli Martinez
203243,1382.2,307.9,1,1500.0,350.0,0,1500.0,350.0,0,1382.2,307.9,1,Wilawan Choptang
