player_id,general_rating,general_rd,general_n,hard_rating,hard_rd,hard_n,clay_rating,clay_rd,clay_n,grass_rating,grass_rd,grass_n,full_name
212225,1378.2,258.0,1,1500.0,350.0,0,1403.5,282.7,1,1500.0,350.0,0,Thomas Faurel
106075,1378.2,116.3,72,1245.3,295.1,23,1426.5,128.1,47,1193.0,569.0,2,Jozef Kovalik
101260,1378.2,256.0,1,1500.0,350.0,0,1500.0,350.0,0,1444.3,306.9,1,Sean Cole
208597,1378.2,273.9,1,1360.5,275.6,1,1500.0,350.0,0,1500.0,350.0,0,Chak Lam Coleman Wong
101681,1378.0,107.8,75,1264.9,245.2,24,1383.2,363.0,4,1434.6,153.6,44,Chris Wilkinson
104292,1378.0,139.1,14,1406.6,166.4,10,1500.0,350.0,0,1405.7,257.0,4,Izak Van Der Merwe
101217,1377.5,256.7,1,1500.0,350.0,0,1500.0,350.0,0,1331.4,287.7,1,Andreas Lesch
211767,1377.5,274.0,1,1365.4,274.7,1,1500.0,350.0,0,1500.0,350.0,0,James Watt
104897,1377.4,142.6,86,1384.7,176.8,47,1344.4,222.8,30,1322.9,398.7,9,Matthias Bachinger
101866,1377.1,130.5,143,1351.0,198.1,45,1409.6,174.1,76,1376.2,326.8,8,David Rikl
102140,1377.0,271.4,1,1500.0,350.0,0,1364.4,281.5,1,1500.0,350.0,0,Bruno Fragoso
105952,1376.9,139.0,55,1202.9,266.7,8,1443.7,155.7,46,1297.1,415.4,1,Renzo Olivo
103339,1376.9,152.6,11,1408.0,195.7,8,1500.0,350.0,0,1513.7,292.6,3,Wesley Whitehouse
105128,1376.9,190.8,6,1280.3,293.2,1,1453.6,231.1,5,1500.0,350.0,0,Guillermo Olaso
101516,1376.8,248.2,3,1381.1,321.6,1,1500.0,350.0,0,1500.0,350.0,0,Joao Zwetsch
111513,1376.8,89.1,313,1228.0,157.5,113,1505.4,141.3,174,1182.0,261.8,26,Laslo Djere
103082,1376.8,132.1,67,1339.6,164.0,27,1427.0,186.4,36,1267.1,404.4,4,Markus Hantschk
144909,1376.7,259.9,1,1500.0,350.0,0,1421.0,283.8,1,1500.0,350.0,0,Francisco Cabral
102243,1376.6,157.2,32,1479.1,475.1,6,1354.8,196.4,24,1340.2,483.5,1,Marcelo Charpentier
101224,1376.5,118.5,48,1346.7,165.6,29,1354.9,292.1,2,1211.2,238.3,8,Kenny Thorne
104021,1376.2,271.5,1,1500.0,350.0,0,1374.1,278.4,1,1500.0,350.0,0,Marco Mirnegg
103988,1376.1,274.2,1,1500.0,350.0,0,1338.8,277.7,1,1500.0,350.0,0,Mariano Albert Ferrando
108429,1376.0,274.7,1,1395.1,281.1,1,1500.0,350.0,0,1500.0,350.0,0,Tony Bujan
102031,1375.9,84.0,58,1143.8,214.5,8,1379.8,103.2,43,1115.1,314.6,2,Sandor Noszaly
105643,1375.8,85.6,356,1156.1,173.4,99,1462.3,109.5,245,886.9,519.3,12,Federico Delbonis
104034,1375.8,269.9,1,1500.0,350.0,0,1406.6,279.3,1,1500.0,350.0,0,Dmitry Vlasov
102811,1375.8,130.8,25,1314.0,248.3,6,1447.4,195.6,13,1442.6,308.2,6,Dusan Vemic
101977,1375.4,158.7,9,1449.0,224.9,4,1149.5,227.2,5,1500.0,350.0,0,Patricio Arnold
200336,1375.4,278.4,1,1392.3,281.9,1,1500.0,350.0,0,1500.0,350.0,0,Trent Bryde
104738,1375.1,221.9,3,1500.0,350.0,0,1419.9,229.2,3,1500.0,350.0,0,Caio Zampieri
103475,1375.1,270.7,1,1390.5,275.9,1,1500.0,350.0,0,1500.0,350.0,0,Thomas Messmer
101299,1375.1,274.0,1,1500.0,350.0,0,1500.0,350.0,0,1500.0,350.0,0,Sven Salumaa
101565,1374.9,260.7,2,1389.4,270.4,2,1500.0,350.0,0,1500.0,350.0,0,Marius Barnard
102469,1374.9,231.3,4,1513.7,275.5,2,1326.8,322.1,2,1500.0,350.0,0,Solon Peppas
101142,1374.8,99.6,367,1416.4,247.6,104,1412.2,110.2,232,900.6,546.0,3,Emilio Sanchez
108229,1374.8,305.0,1,1374.8,305.0,1,1500.0,350.0,0,1500.0,350.0,0,Sebastien Hette
101615,1374.8,305.0,1,1374.8,305.0,1,1500.0,350.0,0,1500.0,350.0,0,Otavio Della
101504,1374.8,161.8,9,1346.7,208.2,6,1437.6,214.5,3,1500.0,350.0,0,Laurent Prades
106281,1374.7,101.8,54,1485.0,158.5,23,1268.8,334.6,4,1286.9,162.6,27,Liam Broady
101004,1374.6,158.4,40,1439.3,182.5,22,1298.9,313.4,7,1332.8,291.7,8,Jim Pugh
205734,1374.6,97.4,91,1358.0,143.6,28,1426.0,121.4,59,1459.9,298.1,4,Thiago Seyboth Wild
105609,1374.5,273.4,1,1377.5,276.9,1,1500.0,350.0,0,1500.0,350.0,0,Ilya Belyaev
103761,1374.3,157.6,12,1308.6,200.9,7,1397.1,344.7,2,1500.0,350.0,0,Tomas Cakl
100606,1374.1,273.7,1,1500.0,350.0,0,1399.9,279.6,1,1500.0,350.0,0,Mike Bauer
101632,1374.0,216.2,4,1378.3,321.3,1,1509.3,257.0,2,1500.0,350.0,0,Per Henricsson
102887,1373.9,137.2,170,1400.6,156.0,106,1436.3,613.6,47,933.4,358.3,11,Ramon Delgado
103763,1373.8,212.8,3,1373.5,215.4,3,1500.0,350.0,0,1500.0,350.0,0,Martin Slanar
104661,1373.8,220.9,4,1354.7,240.1,3,1500.0,350.0,0,1422.7,309.6,1,Pierre Ludovic Duclos
102215,1373.7,195.1,15,1390.0,238.6,6,1344.9,441.8,1,1425.9,380.2,4,Joshua Eagle
102785,1373.5,118.2,38,1380.2,126.0,33,1500.0,350.0,0,1400.8,301.8,5,Glenn Weiner
104755,1373.4,86.3,991,1310.1,131.3,586,1418.6,143.1,275,1263.5,309.3,116,Richard Gasquet
105905,1373.3,182.2,5,1340.4,298.1,1,1511.9,198.2,4,1500.0,350.0,0,Danilo Petrovic
104311,1373.3,242.1,3,1500.0,350.0,0,1409.1,264.5,3,1500.0,350.0,0,Leonardo Tavares
103752,1373.2,86.1,115,1394.8,129.8,51,1377.0,129.3,52,1289.3,258.3,9,Simon Greul
106234,1373.1,83.1,166,1372.8,123.3,109,1434.4,158.5,45,1350.1,285.9,12,Aslan Karatsev
101861,1373.1,168.3,16,1500.0,350.0,0,1384.8,192.3,11,1500.0,350.0,0,Thomas Buchmayer
105874,1373.0,157.1,14,1451.1,192.7,11,1335.2,283.3,1,1239.7,286.6,2,Albano Olivetti
104542,1372.8,96.7,673,1467.0,128.6,456,1222.6,208.1,132,1367.0,318.5,75,Jo-Wilfried Tsonga
101360,1372.7,156.4,11,1402.8,212.8,4,1500.0,350.0,0,1342.9,235.0,5,Mark Keil
104081,1372.6,100.3,72,1429.1,213.7,16,1336.0,120.5,51,1188.0,365.2,3,Boris Pashanski
102233,1372.6,160.4,130,1346.2,178.7,75,1404.6,454.4,5,1525.4,276.7,31,Leander Paes
100997,1372.5,146.1,24,1362.3,159.8,18,1437.1,324.4,3,1500.0,350.0,0,Roger Smith
103371,1372.5,269.5,1,1354.2,273.8,1,1500.0,350.0,0,1500.0,350.0,0,Emin Agaev
105449,1372.5,101.6,397,1334.8,127.4,265,1386.5,219.5,66,1470.1,210.6,66,Steve Johnson
105318,1372.5,184.0,6,1253.0,224.7,4,1555.0,213.8,2,1500.0,350.0,0,Thomas Schoorel
210340,1372.5,202.3,3,1356.6,208.7,3,1500.0,350.0,0,1500.0,350.0,0,Philip Sekulic
100970,1372.2,273.2,1,1500.0,350.0,0,1421.8,290.3,1,1500.0,350.0,0,Stefan Eriksson
108136,1372.2,271.2,1,1500.0,350.0,0,1500.0,350.0,0,1500.0,350.0,0,Roberto Raffa
202168,1372.1,273.2,1,1385.1,276.6,1,1500.0,350.0,0,1500.0,350.0,0,Ye Cong Mo
108214,1371.8,271.3,1,1383.6,274.4,1,1500.0,350.0,0,1500.0,350.0,0,Scott Clark
102556,1371.7,260.1,1,1381.0,264.8,1,1500.0,350.0,0,1500.0,350.0,0,Claude Ngoran
109303,1371.6,148.1,10,1260.9,309.7,1,1427.0,173.7,8,1408.3,301.8,1,Stefano Napolitano
